stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
4168,52.893044,-1.72631,418510.0,332880.0,2.209,0.249,1.8,0.274
9681SO,51.272897,1.196653,623067.0,157493.0,7.39,3.83,6.058,4.103
E1550,51.194615,0.278452,559300.0,146400.0,3.457,0.0,1.6600000000000001,0.882
4091,53.377166,-1.053244,463080.0,387120.0,2.317,0.26,1.6,0.422
4159,52.970005,-2.073464,395163.0,341409.0,1.661,0.20500000000000002,0.9400000000000001,0.261
684029,53.276556,-2.854006,343150.0,375850.0,,,,
685517,53.395655,-3.121735,325506.0,389346.0,1.486,0.101,1.2,0.11900000000000001
055816_TG 319,52.026391,-2.629867,356880.0,236630.0,5.504,0.037,3.6,0.467
2605TH,51.403494,-0.836851,481005.0,167805.0,,,,
E2219,52.226326,-0.9463619999999999,472065.0,259204.0,,,,
4703,52.807006,-2.123061,391801.0,323281.0,2.536,0.28,2.0,0.337
F2120,53.962216,-1.5688369999999998,428386.0,451880.0,1.22,0.01,0.5,0.04
E2261,51.202357,0.515045,575800.0,147800.0,3.734,-0.099,3.48,0.114
E22176,52.212963,0.7466929999999999,587750.0,260750.0,1.786,0.202,1.3,0.229
